,MainBranch,Age,RemoteWork,EdLevel,YearsCode,YearsCodePro,DevType,OrgSize,PurchaseInfluence,TechList,Country,Currency,Salary,AISelect,AISent,AIBen,WorkExp,Industry
1,0,1,2,1,18,9,30,4,0,1,177,131,285000.0,2,1,3,10.0,4
2,0,3,0,1,27,23,11,6,2,0,177,131,250000.0,0,6,5,23.0,4
3,0,1,0,1,12,7,14,3,2,1,177,131,156000.0,0,6,5,7.0,12
4,0,1,2,1,6,4,15,5,2,1,130,101,1320000.0,2,4,4,6.0,9
5,0,2,2,6,21,21,11,3,1,3,175,44,78000.0,2,0,4,22.0,9
6,0,2,2,6,4,3,15,0,1,3,177,131,135000.0,2,2,3,4.0,4
7,0,1,2,1,5,3,15,1,2,1,177,131,80000.0,2,0,3,5.0,1
12,0,1,2,1,10,9,15,4,0,1,177,131,75000.0,0,6,5,9.0,9
13,2,2,0,2,5,0,10,2,1,3,177,131,150000.0,2,0,4,10.0,4
14,0,1,0,2,15,7,15,2,2,1,115,41,175000.0,1,1,2,7.0,9
15,0,2,0,2,15,10,11,3,2,1,59,41,100000.0,2,0,4,15.0,7
17,0,1,0,2,11,6,14,7,1,3,56,41,55000.0,2,4,2,6.0,10
18,0,7,2,3,3,0,6,9,1,3,1,3,5555.0,2,0,2,4.0,12
19,0,2,0,6,24,14,15,5,2,1,59,41,70044.0,2,0,4,14.0,4
20,0,1,2,1,6,6,14,5,2,1,175,44,49000.0,2,0,4,6.0,3
21,2,1,2,4,20,5,4,7,2,1,59,41,80000.0,0,6,5,5.0,12
24,0,2,0,2,0,10,11,4,1,3,154,41,35000.0,2,0,2,10.0,4
25,0,2,2,2,12,10,11,1,2,1,152,141,2000000.0,1,1,2,10.0,4
28,0,2,0,1,3,2,15,5,2,1,175,44,31000.0,0,6,5,18.0,7
29,0,2,2,0,15,15,11,2,1,3,154,41,70000.0,1,1,2,15.0,4
32,0,1,0,5,10,7,11,1,2,1,59,41,50000.0,2,0,2,7.0,9
34,2,2,0,1,16,13,11,3,2,1,79,41,40000.0,1,1,2,13.0,10
36,0,4,0,6,33,15,15,3,2,1,177,131,130000.0,2,0,4,39.0,7
37,0,1,2,2,13,2,15,7,0,1,59,41,50408.0,1,1,2,3.0,12
38,0,1,0,1,6,6,11,2,1,3,175,44,110000.0,2,4,4,6.0,4
39,0,1,0,2,10,4,14,3,2,1,13,12,1560000.0,2,4,2,4.0,4
40,0,0,0,1,11,2,27,3,2,3,30,24,150000.0,0,6,5,2.0,9
43,2,0,0,6,3,2,32,3,2,1,177,131,63000.0,2,0,3,2.0,7
44,0,2,2,5,22,14,14,3,0,1,6,131,98000.0,0,6,5,14.0,4
45,0,1,2,1,13,9,11,7,1,3,30,24,136500.0,0,6,5,10.0,4
48,0,4,0,2,32,28,11,0,2,1,160,26,136000.0,0,6,5,28.0,3
51,0,1,1,1,4,2,17,5,2,1,155,75,500000.0,2,1,2,4.0,9
56,0,1,0,5,20,11,13,1,2,1,95,41,42000.0,0,6,5,12.0,7
59,0,1,2,2,8,4,15,4,2,1,146,131,105000.0,2,4,4,5.0,6
61,0,2,1,2,20,9,12,0,1,3,59,41,77000.0,1,3,2,9.0,4
64,0,0,1,1,10,2,15,3,2,1,115,41,36000.0,0,6,5,3.0,5
80,0,1,0,2,5,2,0,0,2,1,50,131,7000.0,2,0,4,5.0,3
88,0,2,1,1,20,14,15,0,0,0,23,19,120000.0,2,0,2,17.0,2
91,0,2,0,0,18,15,14,3,2,1,89,41,50000.0,2,4,4,15.0,4
92,0,1,2,1,15,9,2,3,2,1,8,7,110000.0,0,6,5,9.0,4
96,0,1,0,1,12,6,15,2,1,3,59,41,80800.0,2,0,4,6.0,10
99,0,1,1,2,12,8,15,5,2,2,61,41,28800.0,0,6,5,12.0,10
